127.0.0.1 - - [11/Mar/2017:09:42:38 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:00:20 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:00:20 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:00:20 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:01:39 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:01:39 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:01:39 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:01:40 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:01:40 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:01:40 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:02:19 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:02:19 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:02:19 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:03:31 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:03:31 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:03:31 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:11:54 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:11:54 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:11:54 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 200 11379
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:36 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:36 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:36 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 200 11379
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:16:31 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:16:31 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:16:31 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 200 11481
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:16:32 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:16:32 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:16:32 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:18:27 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:18:27 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:18:27 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 200 11483
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:18:45 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:18:45 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:18:45 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 200 11485
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:19:56 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:19:56 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:19:56 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 200 11558
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:20:49 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:20:49 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:20:49 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 200 11558
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:22:46 +0800] "GET /tlweb/AjaxJs/GetProvince.jsp?country=%E8%B6%8A%E5%8D%97&datetime=1489198966508 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:22:47 +0800] "GET /tlweb/AjaxJs/GetProvince.jsp?country=%E4%B8%AD%E5%9B%BD&datetime=1489198967891 HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:22:49 +0800] "GET /tlweb/AjaxJs/GetCity.jsp?province=%E9%BB%91%E9%BE%99%E6%B1%9F%E7%9C%81&datetime=1489198969891 HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:23:55 +0800] "GET /tlweb/AjaxJs/CheckUser.jsp?user=13929009608&datetime=1489199035786 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:25:24 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:25:24 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:25:24 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:26:46 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:26:46 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:26:46 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:27:51 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:27:51 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:27:51 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:28:16 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:28:16 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:28:16 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 200 11558
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:30:50 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:30:50 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:30:50 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:32:20 +0800] "GET /tlweb/AjaxJs/GetProvince.jsp?country=%E8%B6%8A%E5%8D%97&datetime=1489199540060 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:32:21 +0800] "GET /tlweb/AjaxJs/GetProvince.jsp?country=%E4%B8%AD%E5%9B%BD&datetime=1489199541932 HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:32:24 +0800] "GET /tlweb/AjaxJs/GetCity.jsp?province=%E4%B8%8A%E6%B5%B7%E5%B8%82&datetime=1489199544036 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:44:46 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:44:46 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:44:46 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 200 11545
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:45:05 +0800] "GET /tlweb/AjaxJS/GetCity.jsp HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:45:36 +0800] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:48:35 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:48:35 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:48:35 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:48:36 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:48:36 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:25:52 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:25:52 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:25:52 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 200 14067
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:25:52 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:25:52 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:25:54 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:26:00 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:26:00 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:26:00 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:26:00 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:26:05 +0800] "GET /tlweb/AjaxJs/CheckUser.jsp?user=13929009607&datetime=1489202765551 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:26:21 +0800] "GET /tlweb/AjaxJs/GetProvince.jsp?country=%E4%B8%AD%E5%9B%BD&datetime=1489202781512 HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:26:23 +0800] "GET /tlweb/AjaxJs/GetCity.jsp?province=%E6%B1%9F%E8%8B%8F%E7%9C%81&datetime=1489202783432 HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:26:31 +0800] "GET /tlweb/AjaxJs/RegisterUser.jsp?user=13929009607&passw=325809674&company=%E5%A4%A9%E6%BE%9C&hy=%E7%BE%8E%E5%AE%B9&contact=%E8%93%9D%E5%85%88%E7%94%9F&zw=%E7%BB%8F%E7%90%86&country=%E4%B8%AD%E5%9B%BD&province=%E6%B1%9F%E8%8B%8F%E7%9C%81&city=%E5%A4%AA%E4%BB%93%E5%B8%82&address=%E6%BD%AE%E8%BF%9E HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:26:31 +0800] "GET /tlweb/AjaxJs/Login.jsp HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:26:40 +0800] "GET /tlweb/AjaxJs/RegisterUser.jsp?user=13929009607&passw=325809674&company=%E5%A4%A9%E6%BE%9C&hy=%E7%BE%8E%E5%AE%B9&contact=%E8%93%9D%E5%85%88%E7%94%9F&zw=%E7%BB%8F%E7%90%86&country=%E4%B8%AD%E5%9B%BD&province=%E6%B1%9F%E8%8B%8F%E7%9C%81&city=%E5%A4%AA%E4%BB%93%E5%B8%82&address=%E6%BD%AE%E8%BF%9E HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:26:40 +0800] "GET /tlweb/AjaxJs/Login.jsp HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:28:01 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:28:01 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:28:05 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:28:05 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:28:05 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:28:05 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:28:05 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:29:04 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:29:04 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 200 14140
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:29:08 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:29:08 +0800] "GET /tlweb/Css/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:29:08 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:29:08 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:29:10 +0800] "GET /tlweb/AjaxJs/RegisterUser.jsp?user= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:29:10 +0800] "GET /tlweb/AjaxJs/Login.jsp HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:29:18 +0800] "GET /tlweb/AjaxJs/CheckUser.jsp?user=13929009608&datetime=1489202958536 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:29:21 +0800] "GET /tlweb/AjaxJs/CheckUser.jsp?user=13929009607&datetime=1489202961801 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:29:22 +0800] "GET /tlweb/AjaxJs/RegisterUser.jsp?user=13929009607 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:29:22 +0800] "GET /tlweb/AjaxJs/Login.jsp HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:29:55 +0800] "GET /tlweb/Register.jsp HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:29:55 +0800] "GET /tlweb/Js/Register.js HTTP/1.1" 304 -
